ClaimSubmitted,DateOfIncident,Damages,District,Province,ClaimDetails,ClaimantsAssessment,AgreedPayment,DateClosed,Status
24 March 2010,08 February 2010,Brother shot and killed ,Nad-e-Ali,Helmand,Alleges helicopter fired and shot brother while he was inside compound,,,13 April 2010,D
24 March 2010,05 September 2009,Brother-in-Law shot in stomach and hip,Sangin,Helmand,"ISAF Patrol on Wadi caused him to be shot, transferred to Bastion on Mert",,"1,250.00",03 September 2010,S
25 March 2010,approx Nov/Dec 09,Wife and 3 x daughters killed,Nad-e-Ali,Helmand,Alleges INS took over compound and ISAF engaged with them killing his wife and 3 x daughters,,,14 April 2010,D
25 March 2010,approx Feb 10,Brother killed by mortar,Nad-e-Ali,Helmand,Alleges brother killed by ISAF mortars,,,13 April 2010,D
25 March 2010,approx Jan 10,Son and Parents killed by mortar,Nad-e-Ali,Helmand,Alleges son and Mother and Father killed by mortars with 1 x sheep and 12 x rooms damaged,,,13 April 2010,D
29 March 2010,04 November 2009,Husband and son killed and another son injured plus compound damage,Nad-e-Ali,Helmand,Alleges husband and son killed and son injured and compound damaged by bombs during ISAF/INS fighting,,,02 April 2010,D
29 March 2010,approx Feb 10,Husband killed and 4 x sons injured,Nad-e-Ali,Helmand,Alleges husband killed and 4 x sons injured in mortar attack,,,02 April 2010,D
31 March 2010,28 December 2009,Husband killed and compound/livestock destroyed,Nad-e-Ali,Helmand,Alleges husband killed and livestock killed compound and crops destroyed,,,02 April 2010,D
31 March 2010,approx 09/02/10,Brother shot and killed,Nad-e-Ali,Helmand,Alleges brother killed by bullet from AH,,,14 April 2010,D
01 April 2010,approx 03/03/10,Fatality,Nad-e-Ali,Helmand,While working in fields at night caught in cross-fire between ISAF/INS shot and killed,,"3,500.00",29 May 2010,S
01 April 2010,05 February 2010,8 x jaribs of wheat,Nad-e-Ali,Helmand,Land taken over for CP but 8 x jaribs of wheat destroyed,,"2,400.00",03 April 2010,S
01 April 2010,approx Mar 09,Compound 12 x rooms destroyed and livestock,Nad-e-Ali,Helmand,Alleges compound and livestock destroyed during fighting,,,01 April 2010,D
01 April 2010,approx Aug 09,Compound 5 x rooms destroyed,Nad-e-Ali,Helmand,Alleges compound destroyed during fighting,,,01 April 2010,D
01 April 2010,approx Jan 10,Compound 9 x rooms and 5 ton of wheat and 4 x ton of cotton,Nad-e-Ali,Helmand,Alleges mortars destroyed compound and crops,,"1,800.00",15 May 2010,S
01 April 2010,approx 11/03/10,10 x jaribs of mixed crops and 1 x damaged Rickshaw,Nad-e-Ali,Helmand,Alleges fighting damaged Rickshaw and destroyed crops,,,12 April 2010,D
01 April 2010,approx Feb 10,"2 x cars, 1 x tractor and 2,2000,000 afs of cotton",Nad-e-Ali,Helmand,Alleges fighting destroyed vehicles and cotton,,,02 April 2010,D
01 April 2010,approx Jan 10,10 x rooms destroyed,Nad-e-Ali,Helmand,Alleges due to fighting his compound was destroyed,,,01 April 2010,D
01 April 2010,approx 14 Feb 10,Damage to home,Lashkar Gah,Helmand,Alleges that when a suicide bomber was close to his home outside the PRT camp that ISAF troops took his home over for 6-10 days and damaged the inside and windows - wishes to claim rent also,,260.00,,W
05 April 2010,approx 20/02/10,Compound damage and machinery,Nad-e-Ali,Helmand,Alleges that fighting destroyed 200m of wal and 12 x rooms and damaged 7 x rooms plus 1 x motorcycle and 1 x tractor destroyed with 4500 of wheat,,,13 April 2010,D
05 April 2010,approx 03/01/10,Compound damage and crop destroyed,Nahr-e-Saraj,Helmand,Alleges bombardment destroyed 10m x wall and 2 x rooms filled with 10 x kharwar wheat and 6 x kharwar currants,,,12 April 2010,D
05 April 2010,Not Used
05 April 2010,14/10/09 and 24/10/09,1 x daughter killed and 1 x injured,Nad-e-Ali,Helmand,Both incidents occurred in front of a FOB and during shooting between ISAF/INS,,,14 April 2010,D
05 April 2010,approx summer 09,Property Damage,Nad-e-Ali,Helmand,Since compound occupied this land attached but unoccupied has been damaged by ISAF; 40m x wall and 1 x jarib of orchard,,900.00,24 April 2010,S
05 April 2010,5th day of Ramadam,Brother killed by mortar,Nad-e-Ali,Helmand,While working in fields at night caught in cross-fire between ISAF/INS and killed by mortar,,,14 April 2010,D
05 April 2010,approx 13/02/10,Father killed and compound destroyed by Hellfire,Nad-e-Ali,Helmand,Father killed and compound destroyed when ISAF Hellfire hit compound,,"2,300.00",29 May 2010,S
05 April 2010,02 March 2010,Crop Damage,Nahr-e-Saraj,Helmand,7 x jaribs of corn destroyed when Route Trident was built,,"3,500.00",,W
06 April 2010,approx 2008,Property Damage,Nad-e-Ali,Helmand,Compound damage 6 x room and 1 x cow,,,06 April 2010,D
06 April 2010,approx Feb 10,Property Damage,Nad-e-Ali,Helmand,"Compound 13 x rooms destroyed and 1 x cow, 6 x sheep, 19 x chickens",,"3,020.00",06 November 2010,S
06 April 2010,04 February 2010,Property Damage,Nad-e-Ali,Helmand,"Compound 7 x rooms destroyed and 2 x cows, 3 x sheep and 300 Man (1 = 4.5kg) of wheat",,"4,250.00",11 September 2010,S
06 April 2010,approx Feb 10,Property Damage,Nad-e-Ali,Helmand,Compound during it's 2 months occupation by ISAF has suffered damage,,500.00,24 April 2010,S
06 April 2010,approx Feb 10,Fatality,Nad-e-Ali,Helmand,Uncle injured and later died during fighting between ISAF/INS,,,12 April 2010,D
06 April 2010,approx Feb 10,Property Damage,Nad-e-Ali,Helmand,Compound bombed 10 x rooms destroyed,,,12 April 2010,D
06 April 2010,approx Mar 10,Property Damage,Nad-e-Ali,Helmand,Gate and shop damaged by grenade and bullets,,"1,200.00",10 April 2010,S
06 April 2010,approx Sep 09,Wounding ,Nad-e-Ali,Helmand,Compound 5 x rooms destroyed and 1 x brother and 1 x cousin with minor injuries,,,10 April 2010,D
06 April 2010,approx Nov 09,Property Damage,Nad-e-Ali,Helmand,Alleges tank drove through his house and an IED detonated,,,06 April 2010,D
06 April 2010,approx Mar 10,Property Damage,Nad-e-Ali,Helmand,Compound 12 x rooms destroyed and 60m x wall and 80 x apple trees,,,10 April 2010,D
06 April 2010,22 March 2010,Property Damage,Nad-e-Ali,Helmand,ISAF detonated an IED and caused damage to 7 x shop shutters,"3,243.00","1,621.00",24 April 2010,S
06 April 2010,05 April 2010,Road Traffic Accident,Kabul,Kabul,Brit vehicle RTA with a Radio and TV Company,,"1,550.00",17 May 2010,S
07 April 2010,Approx 6-7 months ago,Property Damage,Nad-e-Ali,Helmand,Compound damage,,,07 April 2010,D
07 April 2010,Approx 6 months ago,Property Damage,Nad-e-Ali,Helmand,5 rooms damaged inc. windows and doors. 5mtr wall and 15 jaribs wheat,,,07 April 2010,D
07 April 2010,03 March 2010,Property Damage,Nahr-e-Saraj,Helmand,Agricultural destroyed by the Route Trident Build,,,07 April 2010,D
07 April 2010,25 days ago,Property Damage,Nad-e-Ali,Helmand,12 rooms destroyed 2 bathrooms and 2 toilets,,,13 April 2010,D
07 April 2010,1 month ago,Property Damage,Nad-e-Ali,Helmand,5 rooms destroyed and 15 mtr wall,,"1,075.00",24 April 2010,S
07 April 2010,06 April 2010,Property Damage,Lashkar Gah,Helmand,some wood and 2 rugs,,,07 April 2010,D
07 April 2010,,Property Damage,Nad-e-Ali,Helmand,"15m wall destroyed, 4 doors and 4 windows",,270.00,24 April 2010,S
07 April 2010,approx 5 months ago,Property Damage,Nad-e-Ali,Helmand,"walls, rooms, windows, doors",,,07 April 2010,D
08 April 2010,Approx 6 months ago,Property Damage,Nad-e-Ali,Helmand,"2 rooms damaged, 4 walls 2 windows and 1 door.",,,08 April 2010,D
08 April 2010,Apprx 8 months ago,Property Damage,Nad-e-Ali,Helmand,6 rooms destroyed,,,08 April 2010,D
08 April 2010,Approx 3 1/2 months ago,Property Damage,Nad-e-Ali,Helmand,Property damaged due to fighting,,,08 April 2010,D
08 April 2010,Approx 3 months ago,Property Damage,Marjah,Helmand,4 rooms destroyed,,,08 April 2010,D
08 April 2010,Approx 8 months ago,Property Damage,Nad-e-Ali,Helmand,9 rooms damaged and 2 walls,,,08 April 2010,D
08 April 2010,Approx 25 Feb 10,Property Damage,Nad-e-Ali,Helmand,"200 grape trees, 15 apple trees, 16 rooms destroyed",,,12 April 2010,D
08 April 2010,6/7 Months ago,Property Damage,Nad-e-Ali,Helmand,5 x roofs destroyed,,,08 April 2010,D
08 April 2010,4 months ago,Property Damage,Nad-e-Ali,Helmand,3 rooms damaged,,,08 April 2010,D
08 April 2010,3/4 months ago,Fatality,Nad-e-Ali,Helmand,Father killed in air bombardment,,,08 April 2010,D
08 April 2010,7 months ago,Fatality,Nad-e-Ali,Helmand,Wife killed by mortar fire,,,08 April 2010,D
10 April 2010,16 March 2010,Property Damage,Nad-e-Ali,Helmand,"1 cow, 1 calf, 1 sheep, 3 windows, 3 doors, 1 room destroyed",,"1,315.00",10 April 2010,S
12 April 2010,6-14 Jan 10,Property Damage,Musa Qal'eh,Helmand,Two rooms destroyed and contents.,,400.00,19 April 2010,S
12 April 2010,2 1/2 months ago,Property Damage,Nad-e-Ali,Helmand,5 rooms destroyed and 3 rooms damaged,,"1,150.00",24 April 2010,S
12 April 2010,22 March 2010,Fatalities,Sangin,Helmand,Death of Husband and father in law,,,12 April 2010,D
12 April 2010,Approx 12/3/10,Property Damage,Nad-e-Ali,Helmand,"Damage to compound, 5 rooms destroyed and 50 fruit trees",,,12 April 2010,D
12 April 2010,Approx 26/3/10,Property Damage,Nad-e-Ali,Helmand,267 trees cut down for force protection and contents of home ISAF were responsible for flooding,,"3,170.00",01 May 2010,S
13 April 2010,Approx 10/02/2010,Property Damage,Nad-e-Ali,Helmand,"7 doors, 6windows, hand pump and 12 kharwars of wheat damaged.",,"1,000.00",24 April 2010,S
13 April 2010,Approx 20/03/2010,Property Damage,Nad-e-Ali,Helmand,Shop damaged by bullets.,,,13 April 2010,D
13 April 2010,Approx 2 months ago,Property Damage,Nad-e-Ali,Helmand,5 rooms damaged.,,500.00,24 April 2010,S
13 April 2010,Approx 13/01/2010,Property Damage,Nad-e-Ali,Helmand,"5 rooms,200 merter of wall damaged.",,750.00,24 April 2010,S
13 April 2010,Approx 13/03/2010,Property Damage,Nad-e-Ali,Helmand,"9 rooms,40 merter of wall and 10 fruity trees cut down.",,"2,150.00",24 April 2010,S
13 April 2010,Approx 13 Feb 10,Property Damage,Nad-e-Ali,Helmand,9 rooms damaged One cow killed 5 jaribs wheat,,"2,375.00",01 May 2010,S
13 April 2010,09 September 2008,Property Damage,Nad-e-Ali,Helmand,Brother and son killed during contact of ISAF/INS.,,,13 April 2010,D
13 April 2010,01 March 2010,Property Damage,Nad-e-Ali,Helmand,5 rooms and 14 jerabs of wheat damaged.,,,19 April 2010,D
13 April 2010,31 March 2009,Property Damage,Nad-e-Ali,Helmand,13 rooms damaged.,,"2,600.00",24 April 2010,S
14 April 2010,13 January 2010,Property Damage,Nad-e-Ali,Helmand,"9 rooms destroyed,  50 merter of wall damaged,2 cows and 3 sheeps killed during ISAF/INS contact.",,"1,325.00",24 April 2010,S
14 April 2010,Approx 13/01/2010,Property Damage,Nad-e-Ali,Helmand,"5 rooms destroyed,4 kharwars of wheat plus 7 kharwars of cutton burnt during contact.",,,24 April 2010,D
14 April 2010,13 January 2010,Property Damage,Nad-e-Ali,Helmand,"9 rooms destroyed,  35 merter of wall damaged,1 cows and 1 Bull killed during ISAF/INS contact.",,987.00,24 April 2010,S
14 April 2010,13 January 2010,Property Damage,Nad-e-Ali,Helmand,"12 rooms damaged, 8 tones of wheat burnt and 1 tractor was damaged during ISAF/INS contact.",,"1,225.00",24 April 2010,S
14 April 2010,01 July 2008,Property Damage,Nad-e-Ali,Helmand,"13 rooms destroyed,  50 merter of wall damaged,1 cows and 2 sheeps killed during ISAF/INS contact.",,,14 April 2010,D
14 April 2010,Approx 2-3 months ago,Property Damage,Nad-e-Ali,Helmand,"4 rooms destroyed,contents and  2 cows killed during ISAF/INS contact.",,,14 April 2010,D
14 April 2010,04 February 2010,Property Damage,Nad-e-Ali,Helmand,"10 rooms destroyed,and livestook killed during ISAF/INS contact.",,500.00,01 May 2010,S
14 April 2010,Approx 27/03/2010,Property Damage,Nad-e-Ali,Helmand,8 rooms and bridge destroyed during ISAF/INS contact.,,,15 April 2010,D
14 April 2010,4 weeks ago,Property Damage,Nad-e-Ali,Helmand,11 rooms destroyed during ISAF/INS contact.,,,14 April 2010,D
14 April 2010,Approx 3 months ago,Property Damage,Nad-e-Ali,Helmand,5 rooms destroyed during ISAF/INS contact.,,250.00,24 April 2010,S
14 April 2010,12 February 2010,Property Damage,Nad-e-Ali,Helmand,22 compounds are damaged.,,,22 April 2010,D
15 April 2010,12 January 2010,Property Damage,Nad-e-Ali,Helmand,10 rooms and 20 meter of wall destroyed during ISAF/INS contact.,,"1,050.00",24 April 2010,S
